An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,FeO,L O I
JB027,65.32,0.83,19.25,5.35,0.04,2.24,2.54,0.92,3.32,0.40,100.39,718,121,38,19,74,30,169,177,123,31,132,164,2.14,4.20
JB028,67.67,0.75,17.79,5.35,0.06,1.69,3.24,0.76,2.66,0.22,100.36,623,116,38,14,63,29,155,202,139,29,107,153,2.68,3.89
JB029,68.95,0.72,18.76,5.29,0.04,2.03,1.46,0.20,2.64,0.18,100.44,662,132,45,16,73,29,162,122,148,20,123,124,3.19,9.91
JB030,67.16,0.72,18.63,5.07,0.04,1.63,2.12,1.35,3.06,0.27,100.43,857,112,39,13,58,1863,155,294,129,25,98,150,2.25,7.92
JB031,70.31,0.75,17.60,4.24,0.04,1.30,2.02,1.44,2.33,0.21,100.41,734,89,26,17,48,25,135,212,109,21,95,175,0.79,4.22
JB032,68.28,0.68,17.92,5.38,0.07,1.70,2.01,1.02,2.93,0.16,100.30,528,121,35,16,66,29,174,187,120,28,98,135,1.91,2.15
JB033,71.02,0.77,17.21,4.45,0.04,1.58,2.23,0.23,2.40,0.18,100.27,649,119,44,15,79,25,144,157,116,21,114,158,1.11,6.11
JB035,71.41,0.73,15.63,4.57,0.08,1.74,2.19,1.21,2.38,0.24,100.34,561,124,33,14,57,29,131,227,114,30,89,211,3.01,3.56
JB036,72.09,0.72,15.75,3.79,0.06,1.35,2.59,1.20,2.40,0.26,100.39,801,86,32,14,51,28,127,239,111,30,87,191,1.80,3.81
JB037,65.00,0.71,18.37,4.16,0.02,1.58,5.72,0.92,2.72,0.25,99.64,683,134,46,15,72,34,171,235,144,24,173,188,1.31,7.67
JB038,69.07,0.55,17.44,3.62,0.05,1.24,3.04,1.46,3.57,0.20,100.40,678,86,33,16,43,36,200,192,96,20,92,104,0.64,4.97
