"","lat","lng"
"1623",38.437495,-7.854774
"1624",38.548626,-8.115889
"1625",38.573335,-8.183334
"1626",38.684013,-7.745792
"1627",38.431751,-7.736834
"1628",38.425653,-7.791469
"1629",38.538777,-7.882978
"1630",38.762139,-8.180361
"1631",38.657287,-7.981977
"1632",38.657115,-7.786146
"1633",38.784674,-8.248394
"1634",38.55899,-7.695191
"1635",38.432092,-7.595965
"1636",38.704401,-7.799518
"1637",38.704048,-7.798818
"1638",38.626839,-7.825072
"1639",38.630059,-7.82654
"1640",38.630108,-7.835129
"1641",38.629244,-7.835443
"1642",NA,NA
"1643",NA,NA
"1644",NA,NA
"1645",38.615578,-7.754197
"1646",38.430323,-7.869689
"1647",38.430321,-7.869117
"1648",38.42685,-7.863793
"1649",38.588619,-7.774998
"1650",38.653021,-7.772898
"1651",38.441764,-7.913976
"1652",38.724527,-7.8033
"1653",38.724763,-7.803874
"1654",38.557481,-7.810522
"1655",38.662295,-8.0417
"1656",38.683121,-8.040788
"1657",38.680691,-8.032816
"1658",38.670962,-7.928563
"1659",38.569906,-7.849675
"1660",38.527589,-7.859015
"1661",NA,NA
"1662",38.518689,-7.847938
"1663",38.509562,-7.854497
"1664",38.511363,-7.85449
"1665",38.506881,-7.863679
"1666",38.701127,-7.97977
"1667",37.265947,-8.302203
"1668",37.265898,-8.304593
"1669",38.37752,-7.911789
"1670",38.428862,-7.451121
"1671",38.427736,-7.451131
"1672",38.90423,-7.907723
"1673",38.728556,-8.083935
"1674",38.729448,-8.084188
"1675",38.729723,-8.074033
"1676",38.661678,-7.524633
"1677",38.756173,-8.217033
"1678",38.872918,-8.115468
"1679",38.874089,-8.115237
"1680",38.872017,-8.115007
"1681",NA,NA
"1682",37.990751,-7.954765
"1683",38.267555,-7.514563
"1684",38.266939,-7.513871
"1685",37.166954,-8.279137
"1686",37.754475,-8.076352
"1687",38.98535,-7.53757
"1688",37.573376,-8.598222
"1689",38.878496,-7.877842
"1690",38.878489,-7.874673
"1691",NA,NA
"1692",NA,NA
"1693",NA,NA
"1694",NA,NA
"1695",38.831273,-7.911408
"1696",NA,NA
"1697",38.319453,-7.4207
"1698",38.321241,-7.418396
"1699",38.766341,-7.472948
"1700",38.086414,-7.963595
"1701",38.901187,-7.974593
"1702",38.893532,-7.976339
"1703",38.897667,-7.969875
"1704",38.896686,-7.976793
"1705",38.890815,-7.965396
"1706",37.285096,-7.701193
"1707",38.613819,-8.009589
"1708",38.610605,-8.003315
"1709",38.609234,-8.001044
"1710",38.6147,-8.007854
"1711",38.614741,-8.012447
"1712",38.612929,-8.011325
"1713",38.615632,-8.011286
"1714",38.608804,-8.003341
"1715",38.61513,-8.005546
