Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
B4,Manderup,"Ksp. Skibby, Horns Herred, Frederiksborg Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),K3,,Grabhügel,Frederiksborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,Praestegårdsmark,"Ksp. Melby, Strø Herred, Frederiksborg Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),G2,,"Grabhügel, Hauptbestattung",Frederiksborg Amt,Per. II,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,Sigerslevøster,"Ksp. Strø, Strø Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"D1, SF",,Grabhügel,Frederiksborg Amt,Per. II,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,Skåningegårde,"Ksp. Dråby, Horns Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"L7, SF",,"Grabhügel, Hauptbestattung",Frederiksborg Amt,Per. II,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,Smidstrup,"Ksp. Blistrup, Holbo Herred, Frederiksborg Amt",Dänemark,Rahmengriffdolch,,,Grabhügel,Frederiksborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,Smidstrup,"Ksp. Blistrup, Holbo Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),SF,,"Grabhügel, Nebenbestattung",Frederiksborg Amt,Per. II,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,Smidstrupgård,"Ksp. Hørsholm, Lynge-Kronborg Herred, Frederiksborg Amt",Dänemark,Griffangeldolch mit massivem Heft und Knauf (Per. II),?,,Flachgrab,Frederiksborg Amt,Per. II,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,Stenløse,"Ksp. Stenløse, Ølstykke Herred, Frederiksborg Amt",Dänemark,Scheibengriffdolch (Per. II),D2,,Grabhügel,Frederiksborg Amt,Per. II,,,1,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,Søgård,"Ksp. Ølstykke, Ølstykke Herred, Frederiksborg Amt",Dänemark,Scheibengriffschwert (Per. II),D2,,Grabhügel,Frederiksborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13,Søsum,"Ksp. Stenløse, Ølstykke Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),A1,,Grabhügel,Frederiksborg Amt,Per. II,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B14,Ubberupgård,"Ksp. Ølsted, Strø Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M2,,Grabhügel,Frederiksborg Amt,Per. II,,,1,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B15,Ubberupgård,"Ksp. Ølsted, Strø Herred, Frederiksborg Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),unbekannt,,Grabhügel,Frederiksborg Amt,Per. II,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B16,Ølstykke,"Ksp. Ølstykke, Ølstykke Herred, Frederiksborg Amt",Dänemark,Scheibengriffschwert (Per. II),"D2, SF",,Einzelfund Moor,Frederiksborg Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B17,Charlottenlund,"Ksp. Gentofte, Sokkelund Herred, Københavns Amt",Dänemark,Scheibengriffschwert (Per. II),D2,,Grabhügel,Københavns Amt,Per. II,,,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
B18,København,"Ksp. København, Sokkelund Herred, Københavns Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),E1,,Einzelfund Moor,Københavns Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19,Køge,"Ksp. Køge, Ramsø Herred, Københavns Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),E2,,"Grabhügel, Hauptbestattung",Københavns Amt,Per. II,,,,,,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
B20,Petersdal,"Ksp. Tårnby, Sokkelund Herred, Københavns Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M1,,Grabhügel,Københavns Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21,Smørumovre,"Ksp. Smørum, Smørum Herred, Københavns Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),SF,,Grabhügel,Københavns Amt,Per. II,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,1,,,,,,1
